Sample Name,Sample Shipped,Sample Sequenced,DRC Received,Available on Cavatica,Genomics Data Harmonized,Phenotype Data Harmonized,Year,Contact PI,Institution Name,Title
8495e9c2-2123,1,0,0,0,0,1,2017,Simeon Boyd,University of California Davis,Whole genome sequencing of nonsyndromic craniosynostosis
60d5cce2-c91e,0,1,1,1,0,1,2017,Simeon Boyd,University of California Davis,Whole genome sequencing of nonsyndromic craniosynostosis
6da770cf-e70a,1,1,0,0,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
98e955c1-2fcf,0,1,0,1,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
c5bb4920-011c,1,1,0,0,1,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
34b6bf39-e312,0,1,0,0,0,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
c4f01224-c983,0,1,1,1,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
2155b308-73b3,0,1,1,1,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
d84635ba-9856,1,1,0,0,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
844848e0-8f6b,1,0,1,1,1,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
dc24c516-d911,0,1,0,1,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
00941164-e07c,0,1,1,1,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
fbcc5d93-56c1,1,1,0,0,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
c2176cae-5e01,1,0,1,1,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
944ad404-ac98,1,0,1,1,1,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
474574b9-0adf,1,0,0,0,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
8ba78c2b-5b93,1,1,0,1,0,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
56f7d481-bd4a,0,1,0,1,1,0,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
4d699b8e-a7cf,0,0,0,1,1,1,2017,Azeez Butali,University of Iowa,Whole Genome Sequencing of African and Asian Orofacial Clefts Case-Parent Triads
f13898d7-131d,0,1,1,1,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
92e2ff7c-918e,1,1,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
3098db36-f24d,0,0,0,1,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
932c3d8d-ddd7,0,1,1,1,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
9c5fe81d-08ca,1,0,1,0,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
23c4f865-9b1d,1,1,1,0,0,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
d9ff178b-a1ef,0,0,0,0,0,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
43c1066a-1ec2,0,1,0,1,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
6b103acb-6c9e,1,1,0,0,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
e2506214-4905,1,1,1,0,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
0e380170-917b,1,1,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
3565ad18-068b,0,0,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
f53de22c-944f,0,1,0,1,0,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
128af930-dd80,1,0,0,0,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
8c0be394-f819,1,1,0,0,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
91a70a9c-07c5,1,0,1,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
edf6e0e7-9c7c,1,0,0,0,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
eb8d5e80-4c1d,1,1,0,0,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
f05c515f-9e80,0,0,0,1,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
0903ccad-91b8,0,1,1,0,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
10a2e1be-13e4,1,0,1,1,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
19792921-9ebf,0,1,1,0,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
0ee2071b-9a5a,1,1,0,1,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
d1a731a0-65bc,1,0,1,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
97b7a856-4f01,1,1,1,0,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
a20eab58-fc36,1,0,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
534cb3aa-0732,0,0,1,1,0,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
c9c147ec-f378,1,1,0,0,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
d8f86fac-a131,0,0,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
4d03861c-314a,0,1,1,1,0,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
1972e350-287b,0,0,0,1,0,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
992aefc1-9810,1,1,0,0,1,0,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
23499e2f-48e4,0,1,0,0,1,1,2017,Wendy Chung,Columbia University Health Sciences,Genomic Analysis of Congenital Diaphragmatic Hernia and Associated Congenital Anomalies
3f56cd7b-0581,1,0,0,0,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
48961a3f-85e3,1,0,0,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
3a2ba4e9-6d9c,0,1,1,0,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
eace58d3-d7ae,1,0,1,0,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
6454d7bc-1c3c,0,0,0,1,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
ea964b5d-3c6d,0,0,1,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
da9d1f4a-a524,0,1,1,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
94b435ac-540a,1,1,0,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
826a724f-770e,0,0,1,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
b2089364-a58b,0,1,1,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
afc8b830-57f1,1,0,0,0,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
517bb6e6-063a,1,1,1,1,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
bbc4ef6f-7427,0,1,0,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
3d57814c-064d,0,0,0,1,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
9684dfa2-dff8,0,1,0,0,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
ec73d122-2f2f,0,1,0,1,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
fea408cf-4698,1,1,0,0,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
dcb5a479-af03,1,0,0,1,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
42f388cf-e5b0,1,1,1,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
b22fe1ca-45d4,1,0,0,1,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
c471cc11-5441,1,1,0,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
3b430955-f7c0,1,1,0,1,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
4fb6f767-5c8c,1,0,1,0,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
36c4610a-a157,1,1,1,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
b54f7fde-c7b1,0,0,1,1,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
c7982bd1-ba70,1,1,1,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
ff9a368f-e72a,1,1,0,0,1,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
c55313a0-e72b,0,0,0,1,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
f502af30-11f7,0,0,1,0,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
a69e3353-fd88,0,0,0,1,0,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
2094e095-d267,1,0,0,1,0,0,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
